Area Name,Year,Month,Regional Unemployment Rate
Alameda County,2014,January,6.6
Alpine County,2014,January,7.9
Amador County,2014,January,10.0
Butte County,2014,January,10.3
Calaveras County,2014,January,9.7
Colusa County,2014,January,25.7
Contra Costa County,2014,January,7.0
Del Norte County,2014,January,11.8
El Dorado County,2014,January,8.1
Fresno County,2014,January,13.9
Glenn County,2014,January,13.1
Humboldt County,2014,January,7.8
Imperial County,2014,January,22.0
Inyo County,2014,January,8.0
Kern County,2014,January,12.2
Kings County,2014,January,14.7
Lake County,2014,January,10.8
Lassen County,2014,January,11.5
Los Angeles County,2014,January,8.9
Madera County,2014,January,12.7
Marin County,2014,January,4.8
Mariposa County,2014,January,13.4
Mendocino County,2014,January,8.4
Merced County,2014,January,15.7
Modoc County,2014,January,14.0
Mono County,2014,January,7.5
Monterey County,2014,January,13.6
Napa County,2014,January,7.2
Nevada County,2014,January,7.5
Orange County,2014,January,6.1
Placer County,2014,January,7.1
Plumas County,2014,January,16.5
Riverside County,2014,January,9.1
Sacramento County,2014,January,8.3
San Benito County,2014,January,11.5
San Bernardino County,2014,January,9.0
San Diego County,2014,January,7.3
San Francisco County,2014,January,5.0
San Joaquin County,2014,January,12.4
San Luis Obispo County,2014,January,6.2
San Mateo County,2014,January,4.8
Santa Barbara County,2014,January,7.6
Santa Clara County,2014,January,5.8
Santa Cruz County,2014,January,11.8
Shasta County,2014,January,11.6
Sierra County,2014,January,13.1
Siskiyou County,2014,January,15.2
Solano County,2014,January,8.8
Sonoma County,2014,January,6.5
Stanislaus County,2014,January,13.1
Sutter County,2014,January,15.3
Tehama County,2014,January,11.3
Trinity County,2014,January,12.6
Tulare County,2014,January,15.6
Tuolumne County,2014,January,10.6
Ventura County,2014,January,7.5
Yolo County,2014,January,9.2
Yuba County,2014,January,13.3
Alameda County,2014,February,6.5
Alpine County,2014,February,8.5
Amador County,2014,February,10.0
Butte County,2014,February,10.2
Calaveras County,2014,February,9.6
Colusa County,2014,February,24.2
Contra Costa County,2014,February,7.0
Del Norte County,2014,February,11.9
El Dorado County,2014,February,8.1
Fresno County,2014,February,13.8
Glenn County,2014,February,12.8
Humboldt County,2014,February,7.9
Imperial County,2014,February,20.8
Inyo County,2014,February,8.0
Kern County,2014,February,12.4
Kings County,2014,February,14.7
Lake County,2014,February,10.3
Lassen County,2014,February,12.4
Los Angeles County,2014,February,8.8
Madera County,2014,February,12.7
Marin County,2014,February,4.8
