Area Type,Area Name,Year,Month,Industry Title,Industry Current Employment,Regional Labor Force,Regional Employment,Regional Unemployment,Regional Unemployment Rate
State,California,2014,January, Computer and Peripheral Equipment Manufacturing,63600,18496400,16922600,1573700,8.5
State,California,2014,January,Bare Printed Circuit Board Manufacturing,8600,18496400,16922600,1573700,8.5
State,California,2014,January,Transportation Equipment Manufacturing,110800,18496400,16922600,1573700,8.5
State,California,2014,January, Computer and Electronic Product Manufacturing,263000,18496400,16922600,1573700,8.5
State,California,2014,January,Real Estate,199800,18496400,16922600,1573700,8.5
State,California,2014,January," Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",50500,18496400,16922600,1573700,8.5
State,California,2014,January, Wired Telecommunications Carriers,57800,18496400,16922600,1573700,8.5
State,California,2014,January, Financial Activities,775400,18496400,16922600,1573700,8.5
State,California,2014,January, Depository Credit Intermediation including Monetary Authorities - Central Bank,157700,18496400,16922600,1573700,8.5
State,California,2014,January,Activities Related to Credit Intermediat,38300,18496400,16922600,1573700,8.5
State,California,2014,January,Manufacturing,1256600,18496400,16922600,1573700,8.5
State,California,2014,January, Radio and Television Broadcasting Stations,13900,18496400,16922600,1573700,8.5
State,California,2014,January,Utility System Const.,38900,18496400,16922600,1573700,8.5
State,California,2014,January,"Accounting, Tax Preparation and Bookkeep",131800,18496400,16922600,1573700,8.5
State,California,2014,January," Architectural, Engineering, and Related Services",161400,18496400,16922600,1573700,8.5
State,California,2014,January,"Mining, except Oil & Gas",5300,18496400,16922600,1573700,8.5
State,California,2014,January,Construction of Buildings,146900,18496400,16922600,1573700,8.5
State,California,2014,January,Oil & Gas Extraction,6300,18496400,16922600,1573700,8.5
State,California,2014,January," Web Search Portals, Libraries, Archives, and Other ",39400,18496400,16922600,1573700,8.5
State,California,2014,January, Real Estate and Rental and Leasing,258800,18496400,16922600,1573700,8.5
State,California,2014,January, Professional and Business Services,2359100,18496400,16922600,1573700,8.5
State,California,2014,January," Professional, Scientific, and Technical Services",1150800,18496400,16922600,1573700,8.5
State,California,2014,January," Agencies, Broker and Other Insurance Related Activities",99200,18496400,16922600,1573700,8.5
