,0
0,Alameda County
1,Alpine County
2,Amador County
3,Butte County
4,Calaveras County
5,Colusa County
6,Contra Costa County
7,Del Norte County
8,El Dorado County
9,Fresno County
10,Glenn County
11,Humboldt County
12,Imperial County
13,Inyo County
14,Kern County
15,Kings County
16,Lake County
17,Lassen County
18,Los Angeles County
19,Madera County
20,Marin County
21,Mariposa County
22,Mendocino County
23,Merced County
24,Modoc County
25,Mono County
26,Monterey County
27,Napa County
28,Nevada County
29,Orange County
30,Placer County
31,Plumas County
32,Riverside County
33,Sacramento County
34,San Benito County
35,San Bernardino County
36,San Diego County
37,San Francisco County
38,San Joaquin County
39,San Luis Obispo County
40,San Mateo County
41,Santa Barbara County
42,Santa Clara County
43,Santa Cruz County
44,Shasta County
45,Sierra County
46,Siskiyou County
47,Solano County
48,Sonoma County
49,Stanislaus County
50,Sutter County
51,Tehama County
52,Trinity County
53,Tulare County
54,Tuolumne County
55,Ventura County
56,Yolo County
57,Yuba County
58,Anaheim-Santa Ana-Irvine MD
59,Bakersfield MSA
60,Chico MSA
61,El Centro MSA
62,Fresno MSA
63,Hanford-Corcoran MSA
64,Los Angeles-Long Beach-Glendale MD
65,Madera MSA
66,Merced MSA
67,Modesto MSA
68,Napa MSA
69,Oakland-Hayward-Berkeley MD
70,Oxnard-Thousand Oaks-Ventura MSA
71,Redding MSA
72,Riverside-San Bernardino-Ontario MSA
73,Sacramento--Roseville--Arden-Arcade MSA
74,Salinas MSA
75,San Diego-Carlsbad MSA
76,San Francisco-Redwood City-South San Francisco MD
77,San Jose-Sunnyvale-Santa Clara MSA
78,San Luis Obispo-Paso Robles-Arroyo Grande MSA
79,San Rafael MD
80,Santa Cruz-Watsonville MSA
81,Santa Maria-Santa Barbara MSA
82,Santa Rosa MSA
83,Stockton-Lodi MSA
84,Vallejo-Fairfield MSA
85,Visalia-Porterville MSA
86,Yuba City MSA
87,California
